atraso_15|MES-I|DIA-I|Hour-I|WEEKOFYEAR-I|DOW-I|OPERA|SIGLADES|TIPOVUELO|estacion-I|periodo_dia
1|1|22|22|3|7|American Airlines|Miami|I|verano|noche
1|1|23|22|4|1|American Airlines|Miami|I|verano|noche
1|1|24|22|4|2|American Airlines|Miami|I|verano|noche
0|1|25|22|4|3|American Airlines|Miami|I|verano|noche
1|1|26|22|4|4|American Airlines|Miami|I|verano|noche
1|1|27|22|4|5|American Airlines|Miami|I|verano|noche
1|1|28|22|4|6|American Airlines|Miami|I|verano|noche
1|1|29|22|4|7|American Airlines|Miami|I|verano|noche
0|1|30|22|5|1|American Airlines|Miami|I|verano|noche
1|1|31|22|5|2|American Airlines|Miami|I|verano|noche
0|1|1|22|52|7|American Airlines|Dallas|I|verano|noche
1|1|2|22|1|1|American Airlines|Dallas|I|verano|noche
0|1|3|22|1|2|American Airlines|Dallas|I|verano|noche
1|1|4|22|1|3|American Airlines|Dallas|I|verano|noche
0|1|5|22|1|4|American Airlines|Dallas|I|verano|noche
1|1|6|22|1|5|American Airlines|Dallas|I|verano|noche
1|1|7|22|1|6|American Airlines|Dallas|I|verano|noche
1|1|8|22|1|7|American Airlines|Dallas|I|verano|noche
0|1|9|22|2|1|American Airlines|Dallas|I|verano|noche
0|1|10|22|2|2|American Airlines|Dallas|I|verano|noche
0|1|11|22|2|3|American Airlines|Dallas|I|verano|noche
1|1|12|22|2|4|American Airlines|Dallas|I|verano|noche
0|1|13|22|2|5|American Airlines|Dallas|I|verano|noche
0|1|14|22|2|6|American Airlines|Dallas|I|verano|noche
1|1|15|22|2|7|American Airlines|Dallas|I|verano|noche
0|1|16|22|3|1|American Airlines|Dallas|I|verano|noche
1|1|17|22|3|2|American Airlines|Dallas|I|verano|noche
0|1|18|22|3|3|American Airlines|Dallas|I|verano|noche
1|1|19|22|3|4|American Airlines|Dallas|I|verano|noche
0|1|20|22|3|5|American Airlines|Dallas|I|verano|noche
1|1|21|22|3|6|American Airlines|Dallas|I|verano|noche
0|1|22|22|3|7|American Airlines|Dallas|I|verano|noche
1|1|23|22|4|1|American Airlines|Dallas|I|verano|noche
0|1|24|22|4|2|American Airlines|Dallas|I|verano|noche
1|1|25|22|4|3|American Airlines|Dallas|I|verano|noche
1|1|26|22|4|4|American Airlines|Dallas|I|verano|noche
1|1|27|22|4|5|American Airlines|Dallas|I|verano|noche
1|1|28|22|4|6|American Airlines|Dallas|I|verano|noche
1|1|29|22|4|7|American Airlines|Dallas|I|verano|noche
0|1|30|22|5|1|American Airlines|Dallas|I|verano|noche
1|1|31|22|5|2|American Airlines|Dallas|I|verano|noche
1|1|1|13|52|7|Air Canada|Buenos Aires|I|verano|tarde
1|1|2|13|1|1|Air Canada|Buenos Aires|I|verano|tarde
1|1|3|13|1|2|Air Canada|Buenos Aires|I|verano|tarde
1|1|4|13|1|3|Air Canada|Buenos Aires|I|verano|tarde
0|1|5|13|1|4|Air Canada|Buenos Aires|I|verano|tarde
1|1|6|13|1|5|Air Canada|Buenos Aires|I|verano|tarde
1|1|7|13|1|6|Air Canada|Buenos Aires|I|verano|tarde
1|1|8|13|1|7|Air Canada|Buenos Aires|I|verano|tarde
1|1|9|13|2|1|Air Canada|Buenos Aires|I|verano|tarde
1|1|10|13|2|2|Air Canada|Buenos Aires|I|verano|tarde
1|1|11|13|2|3|Air Canada|Buenos Aires|I|verano|tarde
1|1|12|13|2|4|Air Canada|Buenos Aires|I|verano|tarde
1|1|13|13|2|5|Air Canada|Buenos Aires|I|verano|tarde
1|1|14|13|2|6|Air Canada|Buenos Aires|I|verano|tarde
1|1|15|13|2|7|Air Canada|Buenos Aires|I|verano|tarde
1|1|16|13|3|1|Air Canada|Buenos Aires|I|verano|tarde
1|1|17|13|3|2|Air Canada|Buenos Aires|I|verano|tarde
0|1|18|13|3|3|Air Canada|Buenos Aires|I|verano|tarde
0|1|19|13|3|4|Air Canada|Buenos Aires|I|verano|tarde
1|1|20|13|3|5|Air Canada|Buenos Aires|I|verano|tarde
0|1|21|13|3|6|Air Canada|Buenos Aires|I|verano|tarde
1|1|22|13|3|7|Air Canada|Buenos Aires|I|verano|tarde
1|1|23|13|4|1|Air Canada|Buenos Aires|I|verano|tarde
1|1|24|13|4|2|Air Canada|Buenos Aires|I|verano|tarde
0|1|25|13|4|3|Air Canada|Buenos Aires|I|verano|tarde
1|1|26|13|4|4|Air Canada|Buenos Aires|I|verano|tarde
1|1|27|13|4|5|Air Canada|Buenos Aires|I|verano|tarde
1|1|28|13|4|6|Air Canada|Buenos Aires|I|verano|tarde
1|1|29|13|4|7|Air Canada|Buenos Aires|I|verano|tarde
0|1|30|13|5|1|Air Canada|Buenos Aires|I|verano|tarde
1|1|1|21|52|7|Air Canada|Toronto|I|verano|noche
1|1|2|21|1|1|Air Canada|Toronto|I|verano|noche
1|1|3|21|1|2|Air Canada|Toronto|I|verano|noche
1|1|4|21|1|3|Air Canada|Toronto|I|verano|noche
0|1|5|21|1|4|Air Canada|Toronto|I|verano|noche
1|1|6|21|1|5|Air Canada|Toronto|I|verano|noche
1|1|7|21|1|6|Air Canada|Toronto|I|verano|noche
1|1|8|21|1|7|Air Canada|Toronto|I|verano|noche
1|1|9|21|2|1|Air Canada|Toronto|I|verano|noche
1|1|10|21|2|2|Air Canada|Toronto|I|verano|noche
1|1|11|21|2|3|Air Canada|Toronto|I|verano|noche
1|1|13|21|2|5|Air Canada|Toronto|I|verano|noche
1|1|14|21|2|6|Air Canada|Toronto|I|verano|noche
1|1|15|21|2|7|Air Canada|Toronto|I|verano|noche
1|1|16|21|3|1|Air Canada|Toronto|I|verano|noche
1|1|17|21|3|2|Air Canada|Toronto|I|verano|noche
1|1|18|21|3|3|Air Canada|Toronto|I|verano|noche
1|1|19|21|3|4|Air Canada|Toronto|I|verano|noche
0|1|20|21|3|5|Air Canada|Toronto|I|verano|noche
1|1|21|21|3|6|Air Canada|Toronto|I|verano|noche
0|1|22|21|3|7|Air Canada|Toronto|I|verano|noche
1|1|23|21|4|1|Air Canada|Toronto|I|verano|noche
0|1|24|21|4|2|Air Canada|Toronto|I|verano|noche
1|1|25|21|4|3|Air Canada|Toronto|I|verano|noche
1|1|26|21|4|4|Air Canada|Toronto|I|verano|noche
0|1|27|21|4|5|Air Canada|Toronto|I|verano|noche
0|1|28|21|4|6|Air Canada|Toronto|I|verano|noche
1|1|29|21|4|7|Air Canada|Toronto|I|verano|noche
0|1|30|21|5|1|Air Canada|Toronto|I|verano|noche
1|1|1|14|52|7|Air France|Paris|I|verano|tarde
0|1|2|14|1|1|Air France|Paris|I|verano|tarde
0|1|3|14|1|2|Air France|Paris|I|verano|tarde
1|1|4|14|1|3|Air France|Paris|I|verano|tarde
1|1|5|14|1|4|Air France|Paris|I|verano|tarde
1|1|6|14|1|5|Air France|Paris|I|verano|tarde
1|1|7|14|1|6|Air France|Paris|I|verano|tarde
0|1|8|14|1|7|Air France|Paris|I|verano|tarde
0|1|9|14|2|1|Air France|Paris|I|verano|tarde
0|1|10|14|2|2|Air France|Paris|I|verano|tarde
0|1|11|14|2|3|Air France|Paris|I|verano|tarde
0|1|12|14|2|4|Air France|Paris|I|verano|tarde
0|1|13|14|2|5|Air France|Paris|I|verano|tarde
1|1|14|14|2|6|Air France|Paris|I|verano|tarde
0|1|15|14|2|7|Air France|Paris|I|verano|tarde
0|1|16|14|3|1|Air France|Paris|I|verano|tarde
1|1|17|14|3|2|Air France|Paris|I|verano|tarde
1|1|18|14|3|3|Air France|Paris|I|verano|tarde
0|1|19|14|3|4|Air France|Paris|I|verano|tarde
1|1|20|14|3|5|Air France|Paris|I|verano|tarde
0|1|21|14|3|6|Air France|Paris|I|verano|tarde
0|1|22|14|3|7|Air France|Paris|I|verano|tarde
1|1|23|14|4|1|Air France|Paris|I|verano|tarde
0|1|24|14|4|2|Air France|Paris|I|verano|tarde
1|1|25|14|4|3|Air France|Paris|I|verano|tarde
0|1|26|14|4|4|Air France|Paris|I|verano|tarde
1|1|27|14|4|5|Air France|Paris|I|verano|tarde
0|1|28|14|4|6|Air France|Paris|I|verano|tarde
0|1|29|14|4|7|Air France|Paris|I|verano|tarde
0|1|30|14|5|1|Air France|Paris|I|verano|tarde
1|1|31|14|5|2|Air France|Paris|I|verano|tarde
1|1|1|0|52|7|Aeromexico|Ciudad de Mexico|I|verano|noche
0|1|2|0|1|1|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|3|0|1|2|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|4|0|1|3|Aeromexico|Ciudad de Mexico|I|verano|noche
0|1|5|0|1|4|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|6|0|1|5|Aeromexico|Ciudad de Mexico|I|verano|noche
0|1|7|0|1|6|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|8|0|1|7|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|9|22|2|1|Aeromexico|Ciudad de Mexico|I|verano|noche
0|1|10|22|2|2|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|11|22|2|3|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|12|22|2|4|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|13|22|2|5|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|14|22|2|6|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|15|22|2|7|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|16|22|3|1|Aeromexico|Ciudad de Mexico|I|verano|noche
0|1|17|22|3|2|Aeromexico|Ciudad de Mexico|I|verano|noche
0|1|18|22|3|3|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|19|22|3|4|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|20|22|3|5|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|21|22|3|6|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|22|22|3|7|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|23|22|4|1|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|24|22|4|2|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|25|22|4|3|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|26|22|4|4|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|27|22|4|5|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|28|22|4|6|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|29|22|4|7|Aeromexico|Ciudad de Mexico|I|verano|noche
0|1|30|22|5|1|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|31|22|5|2|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|9|0|2|1|Aeromexico|Ciudad de Mexico|I|verano|noche
1|1|1|10|52|7|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|2|10|1|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|3|10|1|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|4|10|1|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|5|10|1|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|6|10|1|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|7|10|1|6|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|8|10|1|7|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|9|10|2|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|10|10|2|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|11|10|2|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|12|10|2|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|13|10|2|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|14|10|2|6|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|15|10|2|7|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|16|10|3|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|17|10|3|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|18|10|3|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|19|10|3|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|20|10|3|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|21|10|3|6|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|23|10|4|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|24|10|4|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|25|10|4|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|26|10|4|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|27|10|4|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|30|10|5|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|31|10|5|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|2|9|1|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|3|9|1|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|4|9|1|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|5|9|1|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|6|9|1|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|7|9|1|6|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|9|9|2|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|10|9|2|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|11|9|2|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|12|9|2|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|13|9|2|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|14|9|2|6|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|16|9|3|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|17|9|3|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|18|9|3|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|19|9|3|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|20|9|3|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|21|9|3|6|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|23|9|4|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|24|9|4|2|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|25|9|4|3|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|26|9|4|4|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|27|9|4|5|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|28|9|4|6|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|30|9|5|1|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|1|16|52|7|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|2|16|1|1|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|3|16|1|2|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|4|16|1|3|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|5|16|1|4|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|6|16|1|5|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|7|16|1|6|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|8|16|1|7|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|9|16|2|1|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|10|16|2|2|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|11|16|2|3|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|12|16|2|4|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|13|16|2|5|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|14|16|2|6|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|15|16|2|7|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|16|16|3|1|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|17|16|3|2|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|18|16|3|3|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|19|16|3|4|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|20|16|3|5|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|21|16|3|6|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|22|16|3|7|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|23|16|4|1|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|24|16|4|2|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|25|16|4|3|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|26|16|4|4|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|27|16|4|5|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|28|16|4|6|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|29|16|4|7|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|30|16|5|1|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
0|1|31|16|5|2|Aerolineas Argentinas|Buenos Aires|I|verano|tarde
1|1|1|19|52|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|2|19|1|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|3|19|1|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|4|19|1|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|5|19|1|4|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|6|19|1|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|7|19|1|6|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|8|19|1|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|9|19|2|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|10|19|2|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|11|19|2|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|12|19|2|4|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|13|19|2|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|14|19|2|6|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|15|19|2|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|16|19|3|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|17|19|3|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|18|19|3|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|19|19|3|4|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|20|19|3|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|22|19|3|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|23|19|4|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|24|19|4|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|25|19|4|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|27|19|4|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|28|19|4|6|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|29|19|4|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|30|19|5|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|31|19|5|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|8|8|1|7|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|15|8|2|7|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
1|1|22|8|3|7|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|29|8|4|7|Aerolineas Argentinas|Buenos Aires|I|verano|mañana
0|1|1|22|52|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|2|22|1|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|3|22|1|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|4|22|1|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|5|22|1|4|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|6|22|1|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|8|22|1|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|9|22|2|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|10|22|2|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|11|22|2|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|12|22|2|4|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|13|22|2|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|15|22|2|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|16|22|3|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|17|22|3|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|18|22|3|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|19|22|3|4|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|20|22|3|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|22|22|3|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|23|22|4|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|24|22|4|2|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|25|22|4|3|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|27|22|4|5|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|29|22|4|7|Aerolineas Argentinas|Buenos Aires|I|verano|noche
1|1|30|22|5|1|Aerolineas Argentinas|Buenos Aires|I|verano|noche
0|1|7|22|1|6|Austral|Buenos Aires|I|verano|noche
1|1|14|22|2|6|Austral|Buenos Aires|I|verano|noche
1|1|21|22|3|6|Austral|Buenos Aires|I|verano|noche
1|1|28|22|4|6|Austral|Buenos Aires|I|verano|noche
1|1|1|7|52|7|Avianca|Bogota|I|verano|mañana
0|1|2|7|1|1|Avianca|Bogota|I|verano|mañana
1|1|3|8|1|2|Avianca|Bogota|I|verano|mañana
1|1|5|17|1|4|Avianca|Bogota|I|verano|tarde
1|1|7|7|1|6|Avianca|Bogota|I|verano|mañana
0|1|8|7|1|7|Avianca|Bogota|I|verano|mañana
1|1|9|7|2|1|Avianca|Bogota|I|verano|mañana
0|1|10|7|2|2|Avianca|Bogota|I|verano|mañana
1|1|11|7|2|3|Avianca|Bogota|I|verano|mañana
1|1|12|7|2|4|Avianca|Bogota|I|verano|mañana
1|1|13|7|2|5|Avianca|Bogota|I|verano|mañana
1|1|14|7|2|6|Avianca|Bogota|I|verano|mañana
0|1|15|7|2|7|Avianca|Bogota|I|verano|mañana
1|1|16|7|3|1|Avianca|Bogota|I|verano|mañana
1|1|17|7|3|2|Avianca|Bogota|I|verano|mañana
0|1|18|7|3|3|Avianca|Bogota|I|verano|mañana
0|1|19|7|3|4|Avianca|Bogota|I|verano|mañana
0|1|20|7|3|5|Avianca|Bogota|I|verano|mañana
1|1|21|7|3|6|Avianca|Bogota|I|verano|mañana
1|1|22|7|3|7|Avianca|Bogota|I|verano|mañana
1|1|23|7|4|1|Avianca|Bogota|I|verano|mañana
1|1|24|7|4|2|Avianca|Bogota|I|verano|mañana
0|1|25|7|4|3|Avianca|Bogota|I|verano|mañana
0|1|26|7|4|4|Avianca|Bogota|I|verano|mañana
1|1|27|7|4|5|Avianca|Bogota|I|verano|mañana
1|1|28|7|4|6|Avianca|Bogota|I|verano|mañana
0|1|29|7|4|7|Avianca|Bogota|I|verano|mañana
1|1|30|7|5|1|Avianca|Bogota|I|verano|mañana
0|1|31|7|5|2|Avianca|Bogota|I|verano|mañana
1|1|1|16|52|7|Avianca|Bogota|I|verano|tarde
0|1|2|16|1|1|Avianca|Bogota|I|verano|tarde
0|1|3|16|1|2|Avianca|Bogota|I|verano|tarde
1|1|4|16|1|3|Avianca|Bogota|I|verano|tarde
0|1|5|16|1|4|Avianca|Bogota|I|verano|tarde
1|1|6|16|1|5|Avianca|Bogota|I|verano|tarde
1|1|7|16|1|6|Avianca|Bogota|I|verano|tarde
0|1|8|16|1|7|Avianca|Bogota|I|verano|tarde
1|1|9|16|2|1|Avianca|Bogota|I|verano|tarde
0|1|10|16|2|2|Avianca|Bogota|I|verano|tarde
1|1|11|16|2|3|Avianca|Bogota|I|verano|tarde
0|1|12|16|2|4|Avianca|Bogota|I|verano|tarde
0|1|13|16|2|5|Avianca|Bogota|I|verano|tarde
1|1|14|16|2|6|Avianca|Bogota|I|verano|tarde
0|1|15|16|2|7|Avianca|Bogota|I|verano|tarde
1|1|16|16|3|1|Avianca|Bogota|I|verano|tarde
1|1|17|16|3|2|Avianca|Bogota|I|verano|tarde
0|1|18|16|3|3|Avianca|Bogota|I|verano|tarde
